sample,timestamp,encode_seconds,request_seconds,status,direct_detection_count,person_count,multiple_person_detection_count,loitering_detection_count,fight_mode,fight_source,fight_class,fight_confidence,fight_is_fighting,fight_buffer_size,fight_frames_sent,fight_error,incidents_created,incident_names,error
0,2026-05-14T12:00:00,0.00042299999768147245,0.0531600000031176,ok,2,2,0,0,remote,remote_waiting,,0.0,False,1,0,,0,,
1,2026-05-14T12:00:01,0.0003121999980066903,0.06357099999877391,ok,3,3,1,0,remote,remote_waiting,,0.0,False,2,0,,0,,
2,2026-05-14T12:00:02,0.0003288000007160008,0.04269969999586465,ok,4,4,0,0,remote,remote_waiting,,0.0,False,3,0,,0,,
3,2026-05-14T12:00:03,0.00033290000283159316,0.04210149999562418,ok,4,4,0,0,remote,remote_waiting,,0.0,False,4,0,,0,,
4,2026-05-14T12:00:04,0.00032780000037746504,0.05599670000083279,ok,4,4,0,0,remote,remote_waiting,,0.0,False,5,0,,0,,
5,2026-05-14T12:00:05,0.0002997999981744215,0.04656729999987874,ok,4,4,0,0,remote,remote_waiting,,0.0,False,6,0,,0,,
6,2026-05-14T12:00:06,0.00029910000012023374,0.05679839999356773,ok,3,3,0,0,remote,remote_waiting,,0.0,False,7,0,,0,,
7,2026-05-14T12:00:07,0.0003079000016441569,0.05848110000079032,ok,3,3,0,0,remote,remote_waiting,,0.0,False,8,0,,0,,
8,2026-05-14T12:00:08,0.0002986000035889447,0.04049479999957839,ok,4,4,0,0,remote,remote_waiting,,0.0,False,9,0,,0,,
9,2026-05-14T12:00:09,0.0002973000009660609,0.06397859999560751,ok,4,4,0,0,remote,remote_waiting,,0.0,False,10,0,,0,,
10,2026-05-14T12:00:10,0.00029910000012023374,0.06290109999827109,ok,4,4,0,0,remote,remote_waiting,,0.0,False,11,0,,0,,
11,2026-05-14T12:00:11,0.000301199994282797,0.04640429999562912,ok,4,4,1,0,remote,remote_waiting,,0.0,False,12,0,,0,,
12,2026-05-14T12:00:12,0.0002789999998640269,0.06023460000142222,ok,4,4,0,0,remote,remote_waiting,,0.0,False,13,0,,0,,
13,2026-05-14T12:00:13,0.0003032000022358261,0.05335580000246409,ok,3,3,0,0,remote,remote_waiting,,0.0,False,14,0,,0,,
